Animal,Date,Session,User,Exclude?,Ephys?,First World,Last World,Total Trials,Percent Correct,Total Rewards,Trial rate,Time Elapsed,Notes
S11,201030,1,Steph,0,0,ymazeLong,ymazeLong,89,50,68,2.324753224,2308.588332,Developed bad bias on latest delay so taking VR pause
S11,201030,2,Steph,0,0,ymazeLong,ymazeSurprise,36,66.66666667,28,2.388299984,917.4035875,Slightly better but not great in the second session on the latest delay
S14,201030,1,Steph,0,0,ymazeLong,ymazeLong,70,57.5,48,2.026810847,2088.560854,Very well on latest delay but fell into bias on middle delay
S12,201030,1,Steph,0,0,ymazeLong,ymazeSurprise,58,52.5,43,2.273325594,1555.216997,Fell into bias on latest delay so taking a pause
S12,201030,2,Steph,0,0,ymazeLong,ymazeSurprise,64,62.5,60,2.089326317,1860.890676,Better job in second session but high maintenance on latest delay
S13,201030,1,Steph,0,0,ymazeLong,ymazeSurprise,106,60,80,1.99094371,3198.657525,got up to middle delay but developed bias so overall not great.
S11,201101,1,Steph,0,0,ymazeLong,ymazeSurprise,71,62.5,52,2.396402022,1802.291791,Developed bias so took a pause at 30 min on latest delay
S11,201101,2,Steph,0,0,ymazeLong,ymazeSurprise,67,42.5,31,2.260973737,1793.514476,horrible second session too. 
S12,201101,1,Steph,0,0,ymazeLong,ymazeSurprise,117,50,76,2.176840035,3243.972537,Ok on latest delay but not great. Lots of bias
S13,201101,1,Steph,0,0,ymazeLong,ymazeSurprise,144,87.5,120,8.407940833,4629.389556,Awesome job! Did super well even on the update task with a short delay
S14,201101,1,Steph,0,0,ymazeLong,ymazeSurprise,120,75,98,2.082006175,3478.464127,Did decent on middle delay!
S11,201102,1,Steph,0,0,ymazeLong,ymazeSurprise,108,62.5,90,2.217955169,2947.427088,Lasted ok amount of time on latest delay but fell into bias eventually
S12,201102,1,Steph,0,0,ymazeLong,ymazeLong,105,50,63,2.78646028,2273.569167,very poorly today. Can't even get out of visual guided so doing a break
S12,201102,1,Steph,0,0,ymazeLong,ymazeSurprise,104,67.5,87,2.185612436,2879.056765,Took forever but finally doing decent on middle delay for a while at the end
S13,201102,1,Steph,0,0,ymazeLong,ymazeLong,81,47.5,56,1.490533274,3273.542668,Did ok at first and did some update trials but fell off into bias
S14,201102,1,Steph,0,0,ymazeLong,ymazeLong,145,72.5,111,17.6324307,4100.314067,Took a while to get past bias within latest delay but overall did ok!
S11,201103,1,Steph,0,0,ymazeLong,ymazeSurprise,123,52.5,98,2.111430305,3517.330321,Biased the whole latest delay and hard to break
S12,201103,1,Steph,0,0,ymazeLong,ymazeSurprise,122,52.5,86,2.061665775,3565.766287,Decent job on latest and middle delay up until the end where he fell into bias
S13,201103,1,Steph,0,0,ymazeLong,ymazeLong,94,55,65,1.877564798,3029.690628,Being super annoying with bias on middle delay so stopped
S14,201103,1,Steph,0,0,ymazeLong,ymazeSurprise,104,55,77,2.163964716,2923.675034,Made it to middle delay! Bit of a bias but lasted decently long
S11,201104,1,Steph,0,0,ymazeLong,ymazeLong,67,40,52,2.025390946,1986.291872,Bias on latest delay so took a pause
S11,201104,2,Steph,1,0,ymazeLong,ymazeSurprise,55,25,38,1.957103842,1695.924434,Pretty bad just wanted to force him a bit 
S12,201104,1,Steph,0,0,ymazeLong,ymazeLong,72,62.5,48,3.123068415,1385.457647,Cage change day - very annoying and bad couldn't get past warmup
S13,201104,1,Steph,0,0,ymazeLong,ymazeSurprise,211,70,165,5.123406928,6079.537622,Great job! Lasted a super long time on the update
S14,201104,1,Steph,0,0,ymazeLong,ymazeSurprise,130,55,98,2.22737501,3515.016773,Good job overall! Lasted pretty long on middle delay
S11,201105,1,Steph,0,0,ymazeLong,ymazeLong,74,42.5,43,2.459373259,1824.635666,ok at first but fell into bias after 10 min per usual. Stopping for today
S13,201105,1,Steph,0,0,ymazeLong,ymazeSurprise,137,57.5,96,39.19175352,3810.161,Ok job! Didn't last that long on the update task but did pretty well overall
S14,201105,1,Steph,0,0,ymazeLong,ymazeLong,87,57.5,72,1.93334121,2644.706651,Was doing ok but fell into bias pretty quickly on latest delay
S13,201106,1,Steph,0,0,ymazeLong,ymazeLong,124,67.5,92,2.93354804,2552.672992,Never made it past visual guided and biased so going to just pause and take off early today
S14,201106,1,Steph,0,0,ymazeLong,ymazeSurprise,104,55,84,2.483386384,2519.023673,Fell into bias on latest delay but i'm going to end him early
S11,201107,1,Steph,0,0,ymazeLong,ymazeSurprise,121,52.5,81,2.59037316,2825.696076,ok on latest delay but not great. Had to work against bias the whole time
S12,201107,1,Steph,0,0,ymazeLong,ymazeLong,30,53.33333333,16,2.668259717,683.7199986,First session doing the weird turn back at the end thing so going to make a T maze for him lol
S12,201107,2,Steph,0,0,ymazeLong,ymazeSurprise,111,70,89,2.44528671,2730.518627,finally got him to do the task again! Latest delay for a decently long time
S13,201107,1,Steph,0,0,ymazeLong,ymazeSurprise,178,62.5,135,12.41480803,4461.038973,Did ok but didn't get many update trials before bias developed
S14,201107,1,Steph,0,0,ymazeLong,ymazeSurprise,92,57.5,68,2.340425983,2380.365016,Did ok on latest delay but fell to bias so taking a pause
S14,201107,2,Steph,0,0,ymazeLong,ymazeSurprise,48,67.5,35,1.951900562,1484.491238,lasted a bit in the latest and middle delays!
S11,201108,1,Steph,0,0,ymazeLong,ymazeLong,100,57.5,72,2.752190055,2198.325262,Developed bias so paused but did ok on latest delay for a tiny bit
S12,201108,1,Steph,0,0,ymazeLong,ymazeSurprise,158,75,121,2.8493625,3345.675031,Decent job! Did well on latest delay but fell off a bit on middle delay
S14,201108,1,Steph,0,0,ymazeLong,ymazeSurprise,109,52.5,82,2.175459092,3006.583093,okk job on latest delay but biased eventuallyt
S11,201109,1,Steph,0,0,ymazeLong,ymazeLong,84,42.5,61,2.284455504,2214.987121,Ok at first but fell into bias on latest delay
S11,201109,2,Steph,0,0,ymazeLong,ymazeSurprise,69,52.5,62,2.03076262,2046.014434,Better on latest delay but I had to be very involved
S12,201109,1,Steph,0,0,ymazeLong,ymazeSurprise,107,57.5,75,2.528036794,2562.593465,Did very well on latest delay but fell into bias a bit at the end
S12,201109,2,Steph,0,0,ymazeLong,ymazeSurprise,56,67.5,42,2.547656724,1338.408118,Decent job but fell off a bit on middle delay
S14,201110,1,Steph,0,0,ymazeLong,ymazeLong,75,47.5,53,2.517747321,1794.276402,Was doing really well at first but being annoying with bias on the delay
S14,201110,2,Steph,0,0,ymazeLong,ymazeSurprise,88,57.5,58,2.46160617,2167.642921,Better in the second session but still not amazing on the latest delay. 
S12,201110,1,Steph,0,0,ymazeLong,ymazeLong,39,46.15384615,20,2.561500645,932.2516535,Bad bias. Don't really understand anymore
S12,201110,2,Steph,0,0,ymazeLong,ymazeSurprise,90,65,53,2.342996458,2306.611581,Not sure if good or bad but did SO much better when I made the view angle a bit wider
S11,201111,1,Steph,0,0,ymazeLong,ymazeLong,40,55,22,2.708766924,896.8904119,Developed bias after 10 min on visual guided and being annoying
S11,201111,2,Steph,0,0,ymazeLong,ymazeLong,39,58.97435897,29,2.694536309,889.5396248,maybe getting better
S12,201111,2,Steph,0,0,ymazeLong,ymazeSurprise,239,57.5,143,6.975651377,5681.476771,Great job! Not the highest percent correct but lasted a long time on latest delay and even did pretty well on middle delay at the end
S14,201111,1,Steph,0,0,ymazeLong,ymazeSurprise,155,67.5,116,20.42923357,4063.042538,Great job! Lasted pretty long on later delay
S11,201112,1,Steph,0,0,ymazeLong,ymazeSurprise,65,37.5,39,1.861728916,2105.269828,did well for a tiny bit but hated latest delay
S11,201112,2,Steph,0,0,ymazeLong,ymazeSurprise,51,62.5,30,1.668836336,1860.883105,much better in second session! Actually did well on latest delay
S12,201112,1,Steph,0,0,ymazeLong,ymazeSurprise,135,55,83,39.85494767,3812.439192,Decent job on latest delay but a bit biased
S14,201112,1,Steph,0,0,ymazeLong,ymazeSurprise,124,55,78,2.071535927,3595.673139,Decent job! Lasted above chance for a bit on later delay
S11,201113,1,Steph,0,0,ymazeLong,ymazeSurprise,124,67.5,99,12.24139236,4219.057027,Great job! So proud. Latest delay but lasted almost the whole sess
S12,201113,1,Steph,0,0,ymazeLong,ymazeSurprise,98,57.5,74,1.753051666,3362.0037,Great job! Lasted pretty long on later delay and a tiny bit of middle delay
S14,201113,1,Steph,0,0,ymazeLong,ymazeSurprise,119,57.5,79,2.152360603,3335.893384,Good job overall! Struggled a bit with later delay but managed to stay above chance for most of it
S11,201114,1,Steph,0,0,ymazeLong,ymazeLong,92,65,67,2.268565248,2448.795363,Ok not great. Never made it past warm up bc biased
S12,201114,1,Steph,0,0,ymazeLong,ymazeSurprise,83,75,66,1.897637327,2648.410689,Lasted a long time on later delay! And did well!
S14,201114,1,Steph,0,0,ymazeLong,ymazeLong,69,55,46,2.295098689,1822.03986,annoying. bad bias in warmup
S14,201114,1,Steph,0,0,ymazeLong,ymazeSurprise,30,66.66666667,25,2.252060635,839.8906845,Didn't last long in latest delay but did ok not the worst
S11,201116,1,Steph,0,0,ymazeLong,ymazeSurprise,113,87.5,101,2.294399938,2956.233395,Great job! Very well on latest delay
S12,201116,1,Steph,0,0,ymazeLong,ymazeLong,64,52.5,44,2.810750829,1377.961153,Not doing well on warmup and I'm not sure what's up. But lick detector circuit got weird anyway so doing a brief pause
S12,201116,2,Steph,0,0,ymazeLong,ymazeLong,47,67.5,32,2.742798452,1049.455729,Better but not great in second session. Still never went past warm up so I think it was just an off day or something
S14,201116,1,Steph,0,0,ymazeLong,ymazeSurprise,113,67.5,88,15.68395217,4048.973353,Great job! Accidentally put him on later delay but he did pretty well around 70
S11,201117,1,Steph,0,0,ymazeLong,ymazeSurprise,157,67.5,135,15.24980047,4243.063412,Good job overall! Just the later delay that was hard for him
S12,201117,1,Steph,0,0,ymazeLong,ymazeSurprise,140,52.5,113,26.4193314,3925.387948,Did decent but struggled a bit with bias on the latest delay
S14,201117,1,Steph,0,0,ymazeLong,ymazeSurprise,163,65,117,14.37850458,4300.121574,Great job overall! Even got a few update trials before he struggled a bit with bias
S11,201118,1,Steph,0,0,ymazeLong,ymazeLong,120,37.5,85,2.323967529,3104.320696,Did well at first then fell into bias so took off at end early and let sit on ball
S12,201118,1,Steph,0,0,ymazeLong,ymazeSurprise,67,60,55,2.064266469,1953.970968,Better in second session but still struggled with later delay
S14,201118,1,Steph,0,0,ymazeLong,ymazeSurprise,144,55,111,2.53224064,3419.481629,Good job overall! Best was later delay
S11,201119,1,Steph,0,0,ymazeLong,ymazeSurprise,100,50,76,2.056312107,2936.365118,Ok job but fell off in later delay at end
S12,201119,1,Steph,0,0,ymazeLong,ymazeSurprise,134,55,98,2.447536269,3286.925079,Decent job! performance fell off in later delay at the end but lasted decently long
S14,201119,1,Steph,0,0,ymazeLong,ymazeSurprise,170,60,136,48.74645155,3836.647758,Ok job  not the best on later delay but stayed above chance
S11,201121,1,Steph,0,0,ymazeLong,ymazeSurprise,214,57.5,177,8.047765116,5200.109317,Great job! Got a few update trials in too 
S12,201121,1,Steph,0,0,ymazeLong,ymazeSurprise,120,55,93,2.683138154,2697.775678,Ok but not great on later delay. Ended a bit early bc time and performance
S14,201121,1,Steph,0,0,ymazeLong,ymazeLong,128,65,104,2.671939108,2885.521572,Not verygood. Biased the whole time 
S11,201122,1,Steph,0,0,ymazeLong,ymazeLong,62,47.5,37,2.838546237,1330.966011,weirdly had a right bias. Pausing at 22 bc being annoying
S11,201122,1,Steph,0,0,ymazeLong,ymazeLong,94,70,69,2.71790856,2075.087959,Just not great. Bad bias couldn't even get off warmup
S14,201122,1,Steph,0,0,ymazeLong,ymazeSurprise,133,70,116,2.384734828,3352.023328,Decent job on latest delay just some bias
S11,201123,1,Steph,0,0,ymazeLong,ymazeLong,178,60,154,17.6529801,4213.375725,Good job overall! Tried a bit of the update task but didn't love it
S12,201123,1,Steph,0,0,ymazeLong,ymazeLong,158,52.5,113,2.64262657,3607.619312,Barely above chance for most of latest delay
S14,201123,1,Steph,0,0,ymazeLong,ymazeLong,80,65,59,3.303948838,1461.939701,being annoying and biased going to give a VR pause
S14,201123,2,Steph,0,0,ymazeLong,ymazeSurprise,45,85,38,2.821396215,960.8681638,much better second session
